transaction_id,user_id,bank_name,payment_mode,amount,transaction_time,status,failure_reason,city,device_type,network_type
1,2108,HDFC,UPI,1018,2025-01-17 22:49:00,SUCCESS,,Delhi,iOS,5G
2,1046,HDFC,Debit Card,1595,2025-01-08 08:02:00,SUCCESS,,Mumbai,iOS,5G
3,2827,ICICI,Credit Card,1657,2025-01-29 20:21:00,SUCCESS,,Mumbai,iOS,WiFi
4,1275,HDFC,Credit Card,283,2025-01-26 23:45:00,SUCCESS,,Mumbai,iOS,5G
5,54,SBI,Credit Card,4601,2025-01-12 18:55:00,SUCCESS,,Chennai,iOS,WiFi
6,2583,HDFC,Credit Card,2112,2025-01-05 14:17:00,SUCCESS,,Delhi,iOS,WiFi
7,2145,SBI,Credit Card,376,2025-01-07 05:00:00,SUCCESS,,Delhi,Android,WiFi
8,2538,PNB,Debit Card,4272,2025-01-03 21:15:00,SUCCESS,,Bangalore,iOS,WiFi
9,3738,PNB,Credit Card,2600,2025-01-13 15:48:00,SUCCESS,,Chennai,iOS,WiFi
10,1398,PNB,Debit Card,3769,2025-01-28 06:10:00,SUCCESS,,Bangalore,Android,WiFi
11,711,Axis,Debit Card,2449,2025-01-06 10:33:00,SUCCESS,,Hyderabad,iOS,4G
12,888,ICICI,Credit Card,1766,2025-01-20 18:43:00,SUCCESS,,Chennai,iOS,5G
13,3537,ICICI,UPI,1272,2025-01-08 23:07:00,SUCCESS,,Delhi,iOS,4G
14,3421,HDFC,Debit Card,2549,2025-01-03 02:15:00,SUCCESS,,Mumbai,Android,WiFi
15,55,PNB,Credit Card,1415,2025-01-15 22:51:00,SUCCESS,,Chennai,Android,5G
16,3431,HDFC,Debit Card,4716,2025-01-06 04:30:00,FAILED,Timeout,Mumbai,Android,4G
17,875,SBI,Credit Card,3249,2025-01-20 21:27:00,SUCCESS,,Mumbai,Android,WiFi
18,2451,PNB,Debit Card,2982,2025-01-19 20:20:00,SUCCESS,,Bangalore,Android,WiFi
19,2016,Axis,Credit Card,1333,2025-01-18 04:27:00,SUCCESS,,Bangalore,Android,WiFi
20,3356,Axis,UPI,1290,2025-01-27 03:55:00,SUCCESS,,Delhi,Android,5G
21,3,SBI,Debit Card,3144,2025-01-26 05:34:00,SUCCESS,,Bangalore,iOS,5G
22,2124,PNB,UPI,2551,2025-01-19 20:01:00,SUCCESS,,Mumbai,Android,4G
23,83,Axis,UPI,4711,2025-01-19 00:18:00,SUCCESS,,Hyderabad,Android,4G
24,3686,ICICI,Debit Card,3174,2025-01-08 04:16:00,FAILED,,Bangalore,iOS,4G
25,1288,Axis,UPI,551,2025-01-15 15:45:00,SUCCESS,,Hyderabad,iOS,WiFi
26,3242,HDFC,Debit Card,1702,2025-01-11 13:43:00,SUCCESS,,Hyderabad,iOS,5G
27,889,HDFC,UPI,2828,2025-01-09 17:28:00,SUCCESS,,Bangalore,iOS,5G
28,182,PNB,Credit Card,585,2025-01-14 23:00:00,SUCCESS,,Mumbai,Android,5G
29,3584,ICICI,UPI,4067,2025-01-01 12:49:00,SUCCESS,,Bangalore,iOS,5G
30,3894,SBI,Credit Card,1482,2025-01-22 01:29:00,SUCCESS,,Hyderabad,Android,WiFi
31,1592,HDFC,Credit Card,3531,2025-01-10 06:42:00,SUCCESS,,Hyderabad,Android,4G
32,712,PNB,Debit Card,2532,2025-01-11 02:50:00,SUCCESS,,Delhi,Android,5G
33,377,SBI,Credit Card,516,2025-01-18 05:20:00,SUCCESS,,Mumbai,Android,5G
34,2976,HDFC,UPI,4576,2025-01-28 07:24:00,SUCCESS,,Mumbai,iOS,4G
35,3997,SBI,Debit Card,985,2025-01-24 16:18:00,SUCCESS,,Chennai,Android,WiFi
